No.,Q,A,
1,Gadai Hp,"Silahkan informasikan secara detil :

Merk Hp:
Tipe & RAM Hp:
Kelengkapan (Fullset Like New/Fullset/...)",Antara  A-D
2,Gadai Laptop,"Silahkan informasikan secara detil :

Merk Laptop:
Prosesor Intel Core/ AMD apa:
Kelengkapan Apa Saja:",
3,Gadai Kamera,"Silahkan informasikan secara detil :

Kamera Yang Ingin Digadai Apa:
Kelengkapan Apa Saja:",
4,Gadai TV,"Silahkan informasikan secara detil :

TV merek apa:
Berapa INCH (min. 32 inch):
Kelengkapan (Dusbox dan Remote):",
5,Gadai Drone,"Silahkan informasikan secara detil :

Drone Yang Ingin Digadai Apa:
Kelengkapan Apa Saja:",
6,Gadai Game Konsol,"Silahkan informasikan secara detil :

Konsol Yang Ingin Digadai Apa:
Kelengkapan Apa Saja:",
7,Gadai Smart Watch,"Silahkan informasikan secara detil :

Smart Watch Yang Ingin Digadai Apa:
Kelengkapan Apa Saja:",
8,Gadai tablet,"Silahkan informasikan secara detil :

Merk Tablet:
Ram/Internal:
Kelengkapan Apa Saja:
Kondisi Tablet (Minus/Mulus) :
",
9,Gadai Emas,"Silahkan informasikan secara detil :

emas perhiasan (cincin/kalung/gelang, dsb)/LM:
Kadar:
Berat :",
10,Gadai Aksesoris,"Gadai Mulia Menerima Gadai Aksesoris seperti tas Branded dengan Brand Eropa, seperti Dior, Hermes, Louis Vuitton, Gucci, Channel, Balenciaga, Celine, Goyard, Prada, Bottega Venneta, YSL, Fendi, Omega, Cartier, Rolex, Panerai.
",
11,Kontak Gadai Aksesoris,Admin Official Gadai Aksesoris https://wa.me/628118389807,
12,Gadai Jam tangan,"Gadai Mulia Menerima Gadai Jam tangan branded dengan merek Rolex, Dior, Hermes, Louis Vuitton, Fendi, Omega, Cartier, Rolex, Panerai",
